Data Warehouse Server,Interaction Data Warehouse,TCP,137,All
Data Warehouse Server,Interaction Data Warehouse,TCP,139,All
Data Warehouse Server,Interaction Data Warehouse,TCP,445,All
Data Warehouse Server,Interaction Data Warehouse,UDP,137,All
Data Warehouse Server,Interaction Data Warehouse,UDP,138,All
Database Management Server,Archive Database,TCP,137,All
Database Management Server,Archive Database,TCP,139,All
Database Management Server,Archive Database,TCP,445,All
Database Management Server,Archive Database,UDP,137,All
Database Management Server,Archive Database,UDP,138,All
Database Management Server,Contact Database,TCP,137,All
Database Management Server,Contact Database,TCP,139,All
Database Management Server,Contact Database,TCP,445,All
Database Management Server,Contact Database,UDP,137,All
Database Management Server,Contact Database,UDP,138,All
Database Management Server,Contact OLTP Database,TCP,137,All
Database Management Server,Contact OLTP Database,TCP,139,All
Database Management Server,Contact OLTP Database,TCP,445,All
Database Management Server,Contact OLTP Database,UDP,137,All
Database Management Server,Contact OLTP Database,UDP,138,All
Database Management Server,DPA Database,TCP,137,All
Database Management Server,DPA Database,TCP,139,All
Database Management Server,DPA Database,TCP,445,All
Database Management Server,DPA Database,UDP,137,All
Database Management Server,DPA Database,UDP,138,All
Database Management Server,Framework Data Warehouse,TCP,137,All
Database Management Server,Framework Data Warehouse,TCP,139,All
Database Management Server,Framework Data Warehouse,TCP,445,All
Database Management Server,Framework Data Warehouse,UDP,137,All
Database Management Server,Framework Data Warehouse,UDP,138,All
Database Management Server,Framework Database,TCP,137,All
Database Management Server,Framework Database,TCP,139,All
Database Management Server,Framework Database,TCP,445,All
Database Management Server,Framework Database,UDP,137,All
Database Management Server,Framework Database,UDP,138,All
Database Management Server,Interaction Data Warehouse,TCP,137,All
Database Management Server,Interaction Data Warehouse,TCP,139,All
Database Management Server,Interaction Data Warehouse,TCP,445,All
Database Management Server,Interaction Data Warehouse,UDP,137,All
Database Management Server,Interaction Data Warehouse,UDP,138,All
Database Management Server,QM Database,TCP,137,All
Database Management Server,QM Database,TCP,139,All
Database Management Server,QM Database,TCP,445,All
Database Management Server,QM Database,UDP,137,All
Database Management Server,QM Database,UDP,138,All
Database Server,Archive Database,TCP,137,All
Database Server,Archive Database,TCP,139,All
Database Server,Archive Database,TCP,445,All
Database Server,Archive Database,UDP,137,All
Database Server,Archive Database,UDP,138,All
Database Server,Contact Database,TCP,137,All
Database Server,Contact Database,TCP,139,All
Database Server,Contact Database,TCP,445,All
Database Server,Contact Database,UDP,137,All
Database Server,Contact Database,UDP,138,All
Database Server,Contact OLTP Database,TCP,137,All
Database Server,Contact OLTP Database,TCP,139,All
Database Server,Contact OLTP Database,TCP,445,All
Database Server,Contact OLTP Database,UDP,137,All
Database Server,Contact OLTP Database,UDP,138,All
Database Server,DPA Database,TCP,137,All
Database Server,DPA Database,TCP,139,All
Database Server,DPA Database,TCP,445,All
Database Server,DPA Database,UDP,137,All
Database Server,DPA Database,UDP,138,All
Database Server,Framework Data Warehouse,TCP,137,All
Database Server,Framework Data Warehouse,TCP,139,All
Database Server,Framework Data Warehouse,TCP,445,All
Database Server,Framework Data Warehouse,UDP,137,All
Database Server,Framework Data Warehouse,UDP,138,All
Database Server,Framework Database,TCP,137,All
Database Server,Framework Database,TCP,139,All
Database Server,Framework Database,TCP,445,All
Database Server,Framework Database,UDP,137,All
Database Server,Framework Database,UDP,138,All
Database Server,Interaction Data Warehouse,TCP,137,All
Database Server,Interaction Data Warehouse,TCP,139,All
Database Server,Interaction Data Warehouse,TCP,445,All
Database Server,Interaction Data Warehouse,UDP,137,All
Database Server,Interaction Data Warehouse,UDP,138,All
Database Server,QM Database,TCP,137,All
Database Server,QM Database,TCP,139,All
Database Server,QM Database,TCP,445,All
Database Server,QM Database,UDP,137,All
Database Server,QM Database,UDP,138,All
Database Server,Speech Analytics Database,TCP,137,All
Database Server,Speech Analytics Database,TCP,139,All
Database Server,Speech Analytics Database,TCP,445,All
Database Server,Speech Analytics Database,UDP,137,All
Database Server,Speech Analytics Database,UDP,138,All
